client,date,day_type,exercise,sets,reps,weight_kg
陳小明,2026-05-20,上半身推,槓鈴臥推,4,8,70
陳小明,2026-05-20,上半身推,啞鈴肩推,3,10,20
陳小明,2026-05-20,上半身推,三頭下壓,3,12,25
陳小明,2026-05-22,下半身,背蹲舉,4,6,90
陳小明,2026-05-22,下半身,羅馬尼亞硬舉,3,8,60
陳小明,2026-05-22,下半身,腿推機,3,12,120
陳小明,2026-05-24,上半身拉,引體向上,4,6,0
陳小明,2026-05-24,上半身拉,槓鈴划船,3,8,60
陳小明,2026-05-24,上半身拉,二頭彎舉,3,12,16
李小華,2026-05-21,全身,深蹲,3,12,40
李小華,2026-05-21,全身,硬舉,3,10,50
李小華,2026-05-21,全身,啞鈴臥推,3,12,14
李小華,2026-05-23,核心訓練,棒式,3,60,0
李小華,2026-05-23,核心訓練,捲腹,3,15,0
李小華,2026-05-23,核心訓練,登山者,3,20,0
